"ID","Total_Count","OpCodes_List","min_depth","max_depth","frequency"
"Aristeidae.Cerataspis.monstrosus",1077,"NC1_CR1_6200, NC1_CR2_6500, NC1_MA1_6100, NC1_MA3_6600, NC1_OM1_6300, NC1_OM2_6000, NC2_CR2_3500, NC2_CR3_3800, NC2_CR4_4100, NC2_CR5_5500, NC2_CR6_5800, NC2_CR7_5100, NC2_CR8_4400, NC2_CR9_4700, NC2_MA2_3600, NC2_MA3_3700, NC2_MA5_5400, NC2_MA6_5700, NC2_MA8_4500, NC2_OM1_3100, NC2_OM2_3400, NC2_OM3_3900, NC2_OM4_4000, NC2_OM5_5600, NC2_OM6_5900, NC2_OM7_5000, NC2_OM8_4300, NC2_OM9_4900, NC3_CR10_5400, NC3_CR1_4400, NC3_CR7_3200, NC3_MA10_5200, NC3_MA3_6100, NC3_MA5_6000, NC3_MA6_4200, NC3_MA7_3900, NC3_MA8_2800, NC3_MA9_3700, NC3_OM10_5200, NC3_OM1_5600, NC3_OM3_6700, NC3_OM4_5650, NC3_OM5_5400, NC3_OM7_3500, NC3_OM8_2700, NC3_OM9_5900, NC4_CR10_5000, NC4_CR11_3900, NC4_CR1_5200, NC4_CR3_4400, NC4_CR4_5100, NC4_CR6_5000, NC4_CR7_5600, NC4_CR8_5400, NC4_CR9_5650, NC4_MA10_3800, NC4_MA11_5700, NC4_MA1_5200, NC4_MA3_4550, NC4_MA5_6000, NC4_MA8_5500, NC4_MA9_5700, NC4_OM10_5300, NC4_OM11_4500, NC4_OM3_4400, NC4_OM4_5400, NC4_OM6_5500, NC4_OM8_5500, NC4_OM9_5700","2751","6673",69
"Arthropoda.Copepoda",72,"NC1_CR1_6200, NC1_CR2_6500, NC1_CR6_7700, NC1_CR7_8000, NC1_MA6_7800, NC1_OM1_6300, NC1_OM2_6000, NC1_OM6_7600, NC1_OM7_8000, NC2_CR1_3200, NC2_CR4_4100, NC2_CR6_5800, NC2_MA1_3300, NC2_MA2_3600, NC2_MA5_5400, NC2_MA6_5700, NC2_MA8_4500, NC2_OM5_5600, NC3_CR10_5400, NC3_CR1_4400, NC3_CR3_5500, NC3_MA10_5200, NC3_OM10_5200, NC3_OM1_5600, NC3_OM4_5650, NC3_OM9_5900, NC4_CR10_5000, NC4_CR3_4400, NC4_CR4_5100, NC4_CR7_5600, NC4_CR8_5400, NC4_CR9_5650, NC4_MA10_3800, NC4_MA11_5700, NC4_MA1_5200, NC4_MA4_5900, NC4_MA8_5500, NC4_MA9_5700, NC4_OM10_5300, NC4_OM11_4500, NC4_OM1_5200, NC4_OM7_5500, NC4_OM8_5500","3208","7983",43
"Arthropoda.Malacostraca.Decapoda",10,"NC2_CR7_5100, NC2_OM5_5600, NC3_MA8_2800, NC3_OM8_2700, NC3_OM9_5900, NC4_MA10_3800, NC4_OM9_5700","2751","5854",7
"Arthropoda.Malacostraca.Decapoda.Galatheoidea",2,"NC4_MA3_4550, NC4_OM3_4400","4342","4549",2
"Arthropoda.Malacostraca.Decapoda.Galatheoidea.sp1",1,"NC3_MA8_2800","2751","2751",1
"Arthropoda.Malacostraca.Decapoda.Paguroidea",8,"NC2_CR1_3200, NC2_OM1_3100","3100","3208",2
"Arthropoda.Malacostraca.Decapoda.sp1",4,"NC2_CR6_5800, NC2_MA6_5700, NC2_OM7_5000, NC4_MA9_5700","4999","5809",4
"Arthropoda.Malacostraca.Isopoda",2,"NC4_MA9_5700, NC4_OM7_5500","5609","5668",2
"Arthropoda.Malacostraca.Isopoda.sp1",9,"NC3_MA3_6100, NC3_MA5_6000, NC4_CR7_5600, NC4_MA8_5500","5492","6094",4
"Aspidodiadematidae",2,"NC3_CR1_4400","4337","4337",1
"Ateleopodidae.Ateleopus.sp1",3,"NC4_MA11_5700, NC4_MA7_5600","5552","5696",2
"Bathysauridae.Bathysaurus.mollis",1,"NC4_MA3_4550","4549","4549",1
"Benthesicymidae.Benthesicymus.crenatus",1982,"NC1_CR1_6200, NC1_CR2_6500, NC1_CR3_6700, NC1_CR4_7100, NC1_CR5_7400, NC1_CR8_7000, NC1_MA1_6100, NC1_MA3_6600, NC1_MA4_7000, NC1_MA5_7300, NC1_OM1_6300, NC1_OM2_6000, NC1_OM3_6900, NC1_OM4_7200, NC1_OM5_7500, NC2_CR3_3800, NC2_CR4_4100, NC2_CR5_5500, NC2_CR6_5800, NC2_CR7_5100, NC2_CR8_4400, NC2_CR9_4700, NC2_MA2_3600, NC2_MA5_5400, NC2_MA6_5700, NC2_MA8_4500, NC2_OM3_3900, NC2_OM4_4000, NC2_OM5_5600, NC2_OM6_5900, NC2_OM7_5000, NC2_OM8_4300, NC2_OM9_4900, NC3_CR10_5400, NC3_CR1_4400, NC3_CR3_5500, NC3_CR4_5700, NC3_CR7_3200, NC3_MA10_5200, NC3_MA2_7400, NC3_MA3_6100, NC3_MA5_6000, NC3_MA6_4200, NC3_MA7_3900, NC3_OM10_5200, NC3_OM1_5600, NC3_OM3_6700, NC3_OM4_5650, NC3_OM5_5400, NC3_OM6_4600, NC3_OM9_5900, NC4_CR10_5000, NC4_CR11_3900, NC4_CR1_5200, NC4_CR3_4400, NC4_CR4_5100, NC4_CR5_6900, NC4_CR6_5000, NC4_CR7_5600, NC4_CR8_5400, NC4_CR9_5650, NC4_MA11_5700, NC4_MA1_5200, NC4_MA3_4550, NC4_MA4_5900, NC4_MA5_6000, NC4_MA7_5600, NC4_MA8_5500, NC4_MA9_5700, NC4_OM10_5300, NC4_OM11_4500, NC4_OM1_5200, NC4_OM3_4400, NC4_OM4_5400, NC4_OM5_6900, NC4_OM6_5500, NC4_OM7_5500, NC4_OM8_5500, NC4_OM9_5700","3225","7470",79
"Benthesicymidae.sp1",2,"NC3_MA8_2800","2751","2751",1
"Chaetognatha",426,"NC1_CR1_6200, NC1_OM2_6000, NC1_OM6_7600, NC2_CR1_3200, NC2_CR2_3500, NC2_CR3_3800, NC2_CR4_4100, NC2_CR5_5500, NC2_CR6_5800, NC2_CR7_5100, NC2_CR8_4400, NC2_CR9_4700, NC2_MA2_3600, NC2_MA3_3700, NC2_MA5_5400, NC2_MA6_5700, NC2_MA8_4500, NC2_OM2_3400, NC2_OM3_3900, NC2_OM4_4000, NC2_OM5_5600, NC2_OM6_5900, NC2_OM7_5000, NC2_OM8_4300, NC2_OM9_4900, NC3_CR10_5400, NC3_CR1_4400, NC3_CR3_5500, NC3_CR4_5700, NC3_MA10_5200, NC3_MA3_6100, NC3_MA5_6000, NC3_MA6_4200, NC3_MA7_3900, NC3_MA8_2800, NC3_MA9_3700, NC3_OM10_5200, NC3_OM1_5600, NC3_OM5_5400, NC3_OM6_4600, NC3_OM7_3500, NC3_OM8_2700, NC3_OM9_5900, NC4_CR10_5000, NC4_CR11_3900, NC4_CR1_5200, NC4_CR3_4400, NC4_CR4_5100, NC4_CR6_5000, NC4_CR7_5600, NC4_CR8_5400, NC4_CR9_5650, NC4_MA10_3800, NC4_MA11_5700, NC4_MA1_5200, NC4_MA3_4550, NC4_MA5_6000, NC4_MA7_5600, NC4_MA8_5500, NC4_MA9_5700, NC4_OM10_5300, NC4_OM11_4500, NC4_OM1_5200, NC4_OM3_4400, NC4_OM4_5400, NC4_OM5_6900, NC4_OM6_5500, NC4_OM7_5500, NC4_OM8_5500, NC4_OM9_5700","2751","7621",70
"Chordata.Appendicularia.Copelata",73,"NC1_CR1_6200, NC1_CR2_6500, NC2_CR2_3500, NC2_CR4_4100, NC2_CR7_5100, NC2_CR8_4400, NC2_CR9_4700, NC2_MA6_5700, NC2_OM1_3100, NC2_OM4_4000, NC2_OM5_5600, NC2_OM8_4300, NC3_CR10_5400, NC3_CR1_4400, NC3_CR3_5500, NC3_MA10_5200, NC3_MA2_7400, NC3_MA6_4200, NC3_OM10_5200, NC3_OM1_5600, NC3_OM6_4600, NC3_OM7_3500, NC3_OM8_2700, NC4_CR10_5000, NC4_CR1_5200, NC4_CR6_5000, NC4_CR7_5600, NC4_CR8_5400, NC4_MA10_3800, NC4_MA3_4550, NC4_MA8_5500, NC4_MA9_5700, NC4_OM7_5500, NC4_OM8_5500","2771","7318",34
"Cirroteuthidae.Cirroteuthis.sp1",2,"NC3_CR3_5500, NC4_CR4_5100","5151","5790",2
"Cnidaria.Anthozoa.Scleralcyonacea",2,"NC2_CR8_4400","4397","4397",1
"Cnidaria.Anthozoa.Scleralcyonacea.sp2",3,"NC2_CR8_4400","4397","4397",1
"Cnidaria.Hydrozoa",12,"NC2_CR5_5500, NC2_OM2_3400, NC3_CR10_5400, NC3_MA10_5200, NC3_OM10_5200, NC3_OM1_5600, NC4_CR4_5100, NC4_CR7_5600, NC4_OM1_5200, NC4_OM5_6900","3387","6592",10
"Cnidaria.Hydrozoa.Narcomedusae",13,"NC1_CR2_6500, NC1_CR3_6700, NC1_CR8_7000, NC1_OM3_6900, NC1_OM5_7500, NC2_CR6_5800, NC3_OM2_8000, NC4_MA8_5500","5492","7925",8
"Cnidaria.Hydrozoa.Siphonophorae.Calycophorae",1,"NC2_OM1_3100","3100","3100",1
