"ID","Total_Count","OpCodes_List","min_depth","max_depth","frequency"
"Macrouridae.Coryphaenoides.yaquinae",1208,"NC1_CR1_6200, NC1_MA1_6100, NC1_OM2_6000, NC2_CR2_3500, NC2_CR3_3800, NC2_CR4_4100, NC2_CR5_5500, NC2_CR6_5800, NC2_CR7_5100, NC2_CR8_4400, NC2_CR9_4700, NC2_MA2_3600, NC2_MA5_5400, NC2_MA6_5700, NC2_MA8_4500, NC2_OM2_3400, NC2_OM3_3900, NC2_OM4_4000, NC2_OM5_5600, NC2_OM6_5900, NC2_OM7_5000, NC2_OM8_4300, NC2_OM9_4900, NC3_CR10_5400, NC3_CR1_4400, NC3_CR3_5500, NC3_CR4_5700, NC3_MA10_5200, NC3_MA3_6100, NC3_MA5_6000, NC3_MA6_4200, NC3_MA7_3900, NC3_OM10_5200, NC3_OM1_5600, NC3_OM3_6700, NC3_OM4_5650, NC3_OM5_5400, NC3_OM6_4600, NC3_OM7_3500, NC3_OM9_5900, NC4_CR10_5000, NC4_CR11_3900, NC4_CR3_4400, NC4_CR4_5100, NC4_CR6_5000, NC4_CR7_5600, NC4_CR8_5400, NC4_CR9_5650, NC4_MA10_3800, NC4_MA11_5700, NC4_MA1_5200, NC4_MA4_5900, NC4_MA5_6000, NC4_MA7_5600, NC4_MA8_5500, NC4_MA9_5700, NC4_OM10_5300, NC4_OM11_4500, NC4_OM3_4400, NC4_OM4_5400, NC4_OM6_5500, NC4_OM7_5500, NC4_OM8_5500, NC4_OM9_5700","3387","6673",64
"Mollusca.Cephalopoda.Octopoda.Cirrina",1,"NC4_MA3_4550","4549","4549",1
"Mollusca.Gastropoda",1,"NC3_MA5_6000","6090","6090",1
"Munidopsidae.Munidopsis",4,"NC2_OM1_3100, NC2_OM4_4000, NC3_MA9_3700","3100","3974",3
"Munnopsidae",175,"NC1_CR1_6200, NC1_CR2_6500, NC1_CR3_6700, NC1_CR4_7100, NC1_CR7_8000, NC1_CR8_7000, NC1_MA1_6100, NC1_MA3_6600, NC1_MA4_7000, NC1_MA5_7300, NC1_OM1_6300, NC1_OM3_6900, NC1_OM4_7200, NC1_OM5_7500, NC1_OM6_7600, NC2_CR3_3800, NC2_CR5_5500, NC2_CR8_4400, NC2_MA3_3700, NC2_MA5_5400, NC2_MA6_5700, NC2_MA8_4500, NC2_OM3_3900, NC2_OM5_5600, NC2_OM9_4900, NC3_CR10_5400, NC3_CR1_4400, NC3_MA10_5200, NC3_MA3_6100, NC3_MA5_6000, NC3_MA7_3900, NC3_MA8_2800, NC3_OM10_5200, NC3_OM1_5600, NC3_OM3_6700, NC3_OM5_5400, NC3_OM8_2700, NC4_CR11_3900, NC4_CR7_5600, NC4_CR8_5400, NC4_CR9_5650, NC4_MA10_3800, NC4_MA11_5700, NC4_MA3_4550, NC4_MA5_6000, NC4_OM10_5300, NC4_OM4_5400, NC4_OM5_6900, NC4_OM9_5700","2751","7983",49
"Munnopsidae.sp1",16,"NC1_CR1_6200, NC1_CR2_6500, NC1_OM1_6300, NC3_CR3_5500, NC3_OM3_6700, NC4_MA5_6000, NC4_OM9_5700","5667","6673",7
"Mysidae",310,"NC1_CR1_6200, NC1_CR2_6500, NC1_CR3_6700, NC1_CR8_7000, NC1_MA1_6100, NC1_MA3_6600, NC1_MA4_7000, NC1_MA5_7300, NC1_OM1_6300, NC1_OM2_6000, NC1_OM3_6900, NC1_OM4_7200, NC2_CR1_3200, NC2_CR2_3500, NC2_CR3_3800, NC2_CR4_4100, NC2_CR5_5500, NC2_CR6_5800, NC2_CR7_5100, NC2_CR8_4400, NC2_MA1_3300, NC2_MA2_3600, NC2_MA3_3700, NC2_MA5_5400, NC2_MA6_5700, NC2_MA8_4500, NC2_OM1_3100, NC2_OM2_3400, NC2_OM3_3900, NC2_OM4_4000, NC2_OM5_5600, NC2_OM6_5900, NC2_OM7_5000, NC2_OM8_4300, NC2_OM9_4900, NC3_CR10_5400, NC3_CR1_4400, NC3_CR4_5700, NC3_CR7_3200, NC3_MA10_5200, NC3_MA3_6100, NC3_MA5_6000, NC3_MA6_4200, NC3_MA7_3900, NC3_MA8_2800, NC3_MA9_3700, NC3_OM10_5200, NC3_OM1_5600, NC3_OM3_6700, NC3_OM4_5650, NC3_OM5_5400, NC3_OM6_4600, NC3_OM7_3500, NC3_OM8_2700, NC3_OM9_5900, NC4_CR10_5000, NC4_CR11_3900, NC4_CR3_4400, NC4_CR5_6900, NC4_CR7_5600, NC4_CR8_5400, NC4_CR9_5650, NC4_MA10_3800, NC4_MA11_5700, NC4_MA3_4550, NC4_MA4_5900, NC4_MA5_6000, NC4_MA8_5500, NC4_MA9_5700, NC4_OM10_5300, NC4_OM11_4500, NC4_OM3_4400, NC4_OM4_5400, NC4_OM5_6900, NC4_OM6_5500, NC4_OM7_5500, NC4_OM8_5500, NC4_OM9_5700","2751","7304",78
"Nematocarcinidae",24,"NC1_MA3_6600, NC1_OM1_6300, NC2_CR2_3500, NC2_CR6_5800, NC2_MA6_5700, NC2_MA8_4500, NC2_OM2_3400, NC2_OM5_5600, NC3_MA10_5200, NC3_MA7_3900, NC4_CR11_3900, NC4_OM7_5500","3387","6630",12
"Nemertea.sp1",464,"NC1_CR5_7400, NC1_CR6_7700, NC1_CR7_8000, NC1_CR8_7000, NC1_MA5_7300, NC1_MA6_7800, NC1_OM3_6900, NC1_OM5_7500, NC1_OM6_7600, NC1_OM7_8000, NC1_OM8_7900, NC3_CR2_8000, NC3_MA2_7400, NC3_MA4_7900, NC3_OM2_8000, NC4_CR5_6900, NC4_MA6_7900, NC4_OM5_6900","6592","7983",18
"Nemertea.sp2",24,"NC1_CR1_6200, NC1_CR2_6500, NC1_CR3_6700, NC1_CR4_7100, NC1_MA3_6600, NC1_MA5_7300, NC1_OM4_7200, NC1_OM5_7500, NC3_MA5_6000, NC3_OM5_5400, NC4_CR5_6900, NC4_MA8_5500, NC4_OM5_6900","5367","7470",13
"Nemertea.sp3",6,"NC3_MA3_6100, NC4_CR1_5200, NC4_CR7_5600, NC4_MA7_5600, NC4_OM8_5500","5218","6094",5
"Oikopleuridae",21,"NC2_MA6_5700, NC3_CR4_5700, NC3_OM1_5600, NC3_OM6_4600, NC3_OM9_5900, NC4_CR10_5000, NC4_CR4_5100, NC4_CR7_5600, NC4_MA7_5600, NC4_MA9_5700, NC4_OM10_5300, NC4_OM5_6900, NC4_OM7_5500","4587","6592",13
"Ophidiidae.Abyssobrotula",3,"NC2_OM3_3900, NC4_CR11_3900, NC4_MA10_3800","3780","3892",3
"Ophidiidae.Acanthonus.armatus",8,"NC3_MA8_2800, NC3_OM8_2700","2751","2771",2
"Ophidiidae.Barathrites.iris",46,"NC2_CR5_5500, NC2_CR7_5100, NC2_CR9_4700, NC2_MA5_5400, NC2_MA6_5700, NC2_OM5_5600, NC2_OM8_4300, NC2_OM9_4900, NC3_CR3_5500, NC3_MA10_5200, NC3_OM10_5200, NC3_OM1_5600, NC4_MA5_6000, NC4_OM10_5300, NC4_OM6_5500","4469","5974",15
"Ophidiidae.Bassogigas.walkeri",9,"NC2_CR1_3200, NC2_CR2_3500, NC2_OM1_3100, NC3_MA8_2800, NC3_OM8_2700","2751","3494",5
"Ophidiidae.Bassozetus",7,"NC3_CR10_5400, NC4_MA7_5600, NC4_OM4_5400, NC4_OM6_5500","5351","5552",4
"Ophidiidae.Bassozetus.sp1",166,"NC1_CR1_6200, NC1_CR2_6500, NC1_OM2_6000, NC2_CR5_5500, NC2_CR6_5800, NC2_CR8_4400, NC2_CR9_4700, NC2_MA5_5400, NC2_MA6_5700, NC2_OM3_3900, NC2_OM5_5600, NC2_OM6_5900, NC2_OM8_4300, NC2_OM9_4900, NC3_CR10_5400, NC3_CR1_4400, NC3_CR3_5500, NC3_CR4_5700, NC3_MA10_5200, NC3_MA3_6100, NC3_MA5_6000, NC3_MA8_2800, NC3_OM10_5200, NC3_OM1_5600, NC3_OM5_5400, NC3_OM6_4600, NC3_OM8_2700, NC4_CR10_5000, NC4_CR3_4400, NC4_CR6_5000, NC4_CR9_5650, NC4_MA11_5700, NC4_MA3_4550, NC4_MA7_5600, NC4_MA8_5500, NC4_MA9_5700, NC4_OM10_5300, NC4_OM11_4500, NC4_OM3_4400, NC4_OM6_5500, NC4_OM7_5500, NC4_OM9_5700","2751","6480",42
"Ophidiidae.Bassozetus.sp2",129,"NC1_CR1_6200, NC1_MA1_6100, NC1_OM1_6300, NC1_OM2_6000, NC2_CR5_5500, NC2_CR6_5800, NC2_CR7_5100, NC2_CR9_4700, NC2_OM5_5600, NC2_OM6_5900, NC2_OM7_5000, NC3_CR10_5400, NC3_CR4_5700, NC3_MA3_6100, NC3_MA5_6000, NC3_MA6_4200, NC3_OM10_5200, NC3_OM1_5600, NC3_OM4_5650, NC3_OM5_5400, NC3_OM6_4600, NC3_OM9_5900, NC4_CR7_5600, NC4_MA11_5700, NC4_MA1_5200, NC4_MA4_5900, NC4_MA5_6000, NC4_MA7_5600, NC4_MA9_5700, NC4_OM4_5400, NC4_OM6_5500, NC4_OM7_5500, NC4_OM8_5500, NC4_OM9_5700","4186","6299",34
"Ophidiidae.Bassozetus.sp3",75,"NC1_CR1_6200, NC1_OM1_6300, NC1_OM2_6000, NC2_MA5_5400, NC2_MA6_5700, NC2_OM5_5600, NC2_OM6_5900, NC3_CR3_5500, NC3_CR4_5700, NC3_OM10_5200, NC4_CR7_5600, NC4_MA5_6000, NC4_MA7_5600, NC4_OM10_5300, NC4_OM4_5400, NC4_OM7_5500, NC4_OM9_5700","5272","6299",17
"Ophidiidae.Bassozetus.sp4",5,"NC2_OM5_5600","5612","5612",1
"Ophidiidae.Bassozetus.sp6",119,"NC2_CR5_5500, NC2_CR6_5800, NC2_CR9_4700, NC2_MA5_5400, NC2_MA6_5700, NC2_OM5_5600, NC2_OM6_5900, NC2_OM9_4900, NC3_CR3_5500, NC3_CR4_5700, NC3_MA5_6000, NC3_OM10_5200, NC3_OM1_5600, NC4_CR10_5000, NC4_CR4_5100, NC4_CR7_5600, NC4_CR8_5400, NC4_CR9_5650, NC4_MA11_5700, NC4_MA3_4550, NC4_MA7_5600, NC4_MA8_5500, NC4_OM10_5300, NC4_OM11_4500, NC4_OM1_5200, NC4_OM4_5400, NC4_OM6_5500, NC4_OM8_5500, NC4_OM9_5700","4546","6090",29
"Ophidiidae.Bassozetus.sp7",60,"NC2_CR1_3200, NC2_CR2_3500, NC2_CR4_4100, NC2_CR8_4400, NC2_MA1_3300, NC2_MA2_3600, NC2_OM1_3100, NC2_OM2_3400, NC2_OM3_3900, NC2_OM4_4000, NC3_CR1_4400, NC3_CR4_5700, NC3_CR7_3200, NC3_MA8_2800, NC3_OM8_2700, NC4_CR11_3900, NC4_MA10_3800","2751","5673",17
"Ophidiidae.Bassozetus.sp8",2,"NC1_CR1_6200","6223","6223",1
"Ophidiidae.Leucicorus.sp1",20,"NC2_CR5_5500, NC2_CR6_5800, NC2_CR7_5100, NC2_CR9_4700, NC2_MA5_5400, NC2_MA6_5700, NC2_OM5_5600, NC3_MA10_5200, NC4_CR9_5650, NC4_MA8_5500, NC4_OM9_5700","4704","5809",11
"Ophidiidae.Porogadus.sp1",3,"NC2_CR3_3800, NC4_OM7_5500","3791","5609",2
"Ophidiidae.Typhlonus.nasus",1,"NC4_MA1_5200","5520","5520",1
"Ophidiidae.sp1",42,"NC2_CR6_5800, NC2_MA6_5700, NC2_OM5_5600, NC2_OM6_5900, NC2_OM8_4300, NC3_MA10_5200, NC3_OM4_5650, NC3_OM9_5900, NC4_CR4_5100, NC4_MA10_3800, NC4_MA7_5600, NC4_OM6_5500","3780","5854",12
"Ophidiidae.sp2",4,"NC4_CR11_3900","3892","3892",1
"Ophiuridae.sp1",8,"NC2_CR4_4100, NC2_OM1_3100, NC2_OM2_3400","3100","4095",3
"Parapaguridae.Sympagurus.burkenroadi",14,"NC2_CR2_3500, NC2_OM1_3100, NC2_OM2_3400, NC2_OM3_3900, NC4_CR11_3900, NC4_OM11_4500","3100","4546",6
"Pelagothuriidae.Enypniastes.eximia",2,"NC1_OM1_6300, NC3_OM1_5600","5572","6299",2
"Polynoidae.Macellicephalinae",6,"NC1_CR3_6700, NC1_MA1_6100, NC3_CR3_5500, NC3_CR4_5700, NC3_MA2_7400","5673","7318",5
"Polynoidae.Macellicephalinae.sp1",23,"NC1_CR5_7400, NC1_CR8_7000","7022","7384",2
"Radiozoa.Tuscaridium",9,"NC2_CR3_3800, NC2_MA8_4500, NC2_OM2_3400, NC3_OM7_3500, NC4_MA10_3800, NC4_OM3_4400, NC4_OM8_5500","3387","5497",7
"Rhopalonematidae",3,"NC1_CR1_6200, NC2_CR3_3800, NC3_OM7_3500","3519","6223",3
"Rhopalonematidae.Arctapodema",1,"NC4_OM9_5700","5667","5667",1
"Rhopalonematidae.Arctapodema.sp1",1,"NC2_CR3_3800","3791","3791",1
"Rhopalonematidae.Crossota",1,"NC4_OM10_5300","5272","5272",1
"Rhopalonematidae.sp1",4,"NC1_OM2_6000, NC2_MA6_5700, NC3_MA10_5200, NC4_OM11_4500","4546","6006",4
"Rhopalonematidae.sp2",10,"NC1_OM1_6300, NC3_OM1_5600, NC4_CR10_5000, NC4_CR4_5100, NC4_MA11_5700, NC4_OM10_5300, NC4_OM7_5500","4980","6299",7
"Stephanoberycidae.Abyssoberyx.sp1",5,"NC2_MA6_5700, NC4_CR10_5000, NC4_MA9_5700","4980","5686",3
"Synaphobranchidae.Ilyophis.arx",1926,"NC2_CR1_3200, NC2_CR2_3500, NC2_CR3_3800, NC2_CR4_4100, NC2_MA1_3300, NC2_MA2_3600, NC2_OM1_3100, NC2_OM2_3400, NC2_OM3_3900, NC3_CR7_3200, NC3_MA8_2800, NC3_OM7_3500, NC3_OM8_2700, NC4_CR11_3900, NC4_MA10_3800","2751","4095",15
"Synaphobranchidae.Ilyophis.robinsae",21,"NC2_CR9_4700, NC2_OM3_3900, NC2_OM5_5600, NC2_OM9_4900, NC3_MA10_5200, NC3_OM6_4600, NC4_CR4_5100, NC4_CR6_5000, NC4_MA1_5200, NC4_OM10_5300","3885","5612",10
"Synaphobranchidae.sp1",8,"NC3_CR7_3200, NC3_OM7_3500","3225","3519",2
"Tiarannidae.sp1",1,"NC4_MA8_5500","5492","5492",1
"Tuscaroridae",1,"NC3_MA8_2800","2751","2751",1
"Ulmaridae",4,"NC3_MA8_2800","2751","2751",1
"Ulmaridae.sp1",3,"NC2_CR8_4400, NC4_CR8_5400, NC4_OM4_5400","4397","5383",3
"Umbellulidae.Umbellula",14,"NC2_OM1_3100","3100","3100",1
"Zoarcidae.Pachycara",1,"NC4_OM11_4500","4546","4546",1
"Zoarcidae.Pachycara.sp1",3,"NC2_CR3_3800, NC3_OM7_3500","3519","3791",2
"Zoarcidae.Pachycara.sp2",4,"NC4_MA5_6000, NC4_OM4_5400","5383","5974",2
